epoch,train_mse,val_mse,train_mre,val_mre
1,53024.1484375,48878.25390625,99.81038665771484,99.78665924072266
2,52638.4453125,48561.671875,99.62511444091797,99.6447982788086
3,52268.5625,48253.10546875,99.4029541015625,99.4509506225586
4,51948.55078125,47982.43359375,99.15828704833984,99.2279281616211
5,51626.72265625,47723.6484375,98.89857482910156,98.99762725830078
6,51284.94921875,47444.671875,98.61463165283203,98.73480224609375
7,50927.68359375,47167.3515625,98.32640075683594,98.47942352294922
8,50539.24609375,46872.53125,98.01593017578125,98.21646118164062
9,50115.1171875,46562.5859375,97.7093505859375,97.96800994873047
10,49661.1953125,46250.625,97.3890609741211,97.7268295288086
11,49146.32421875,45874.81640625,97.03807830810547,97.45497131347656
12,48613.6953125,45549.01953125,96.69154357910156,97.2422103881836
13,48036.328125,45209.62890625,96.35124969482422,97.03549194335938
14,47392.14453125,44608.36328125,95.9159164428711,96.61705780029297
15,46770.734375,44251.609375,95.47564697265625,96.34269714355469
16,46118.8828125,43897.609375,95.01809692382812,96.05789184570312
17,45449.9296875,43581.30078125,94.4861068725586,95.7679214477539
18,44746.1328125,42979.265625,93.89836883544922,95.26060485839844
19,44003.265625,42537.921875,93.3061294555664,94.8661117553711
20,43223.359375,42095.1640625,92.6876449584961,94.5129623413086
21,42430.453125,41388.6640625,92.10371398925781,94.07412719726562
22,41547.01953125,41186.12109375,91.24678039550781,93.78069305419922
23,40636.7421875,40688.6171875,90.50971221923828,93.4332504272461
24,39700.1015625,39923.3359375,89.85347747802734,92.95785522460938
25,38685.8984375,39457.6953125,89.0135269165039,92.60345458984375
26,37677.9296875,38892.296875,88.20046997070312,92.33146667480469
27,36675.34375,38619.7265625,87.14261627197266,91.95612335205078
28,35573.640625,38032.1796875,86.31038665771484,91.77367401123047
29,34345.01953125,37261.46484375,85.44908142089844,91.3936996459961
30,33095.74609375,36348.921875,84.47203826904297,90.72651672363281
31,31783.580078125,35559.515625,82.90145874023438,89.78372955322266
32,30346.90625,34515.765625,80.872314453125,88.61760711669922
33,28826.0859375,34242.296875,78.52586364746094,88.2543716430664
34,27365.470703125,33501.31640625,77.54537200927734,87.96957397460938
35,25894.634765625,33566.984375,74.54043579101562,87.74775695800781
36,24545.630859375,33537.7265625,71.88326263427734,87.68649291992188
37,23588.24609375,30226.810546875,72.60713958740234,84.9744644165039
38,21980.94140625,30292.58984375,69.71631622314453,84.79545593261719
39,20672.03125,31256.044921875,64.88501739501953,85.13699340820312
40,19276.92578125,29165.783203125,63.87665557861328,83.43685913085938
41,18026.55859375,27964.830078125,63.17515563964844,82.25578308105469
42,16633.66796875,28427.98828125,60.351741790771484,82.19312286376953
43,15525.876953125,28379.7109375,57.040000915527344,81.81074523925781
